지역,제목,대상
동대문구,할머니가 들려주는 이야기책 함흥차사 공연,어린이
동대문구,내 손안의 비서,어린이
동대문구,필사의 힘,성인
동대문구,우리는 지구촌 시민,어린이
동대문구,책과 함께 만나는 다문화세상,전연령
동대문구,도서관으로 떠나는 세계문화여행,어린이
동대문구,디지털 세상과 소통하기,중장년
영등포구,(비대면)대림도서관 독서동아리 책 읽는 청춘,성인
영등포구,[비대면][작가와의만남#3] '페인트' 이희영 작가와의 만남,전연령
영등포구,(비대면)대림도서관 독서동아리 책 읽는 청춘,성인
영등포구,[비대면][작가와의만남#3] '페인트' 이희영 작가와의 만남-네이버폼접수중,전연령
영등포구,[다문화서비스지원사업] [초등1~2]9.5'나는 인도에서 왔어요' 임서경작가와의 만남,어린이
영등포구,"[길 위의 인문학] 대림도서관 '플라스틱 마을, 녹색 처방전' 3차",전연령
영등포구,[다문화서비스지원사업] [초등3~4]9.4'우리동네 마릴리 아줌마' 함영연작가와의 만남,어린이
영등포구,[독서의 달] 대림도서관 여권스탬프북 신청,전연령
영등포구,[독서의 달] (비대면)작가와의 만남#5 소복이_만화 그리는 법,전연령
영등포구,[독서의 달] 작가와의 만남#4 안승준&홍나리_음악이 있는 그림책 이야기,성인
영등포구,"[독서의 달] 가죽 카드지갑 만들기_소중함, 오래오래 간직할 수 있도록",전연령
영등포구,[독서의 달] 작가와의 만남#5 소복이_만화 그리는 법(비대면),전연령
영등포구,[독서의 달] 작가와의 만남#4 안승준&홍나리_음악이 있는 그림책 이야기,성인
영등포구,"[생애주기] 내가 좋아하는 것들, 요가_작가와의 만남",전연령
영등포구,"[생애주기] 내가 직접 해보는, 요가",전연령
영등포구,[생애주기] 경제신문 읽는 법,전연령
영등포구,[생애주기] 어린이문학을 읽는 방법,어린이
영등포구,[길 위의 인문학] '그건 쓰레기가 아니라고요' 홍수열 작가와의 만남,전연령
영등포구,[작가와의만남#8] '독서모임 꾸리는 법' 원하나 작가와의 만남,전연령
영등포구,[다문화서비스지원사업] [초등1~2]세계시민교육 참여자 모집,어린이
영등포구,[작가와의만남#10] 「긴긴밤」 루리 작가와의 만남(비대면-온라인강연),전연령
영등포구,[작가와의만남#10] 「긴긴밤」 루리 작가와의 만남(대면-현장강연),전연령
영등포구,"[생애주기] 내가 좋아하는 것들, 요가_작가와의 만남",전연령
영등포구,[생애주기] 경제신문 읽는 법,전연령
영등포구,[날짜변경][길 위의 인문학] '그건 쓰레기가 아니라고요' 홍수열 작가와의 만남,전연령
영등포구,[다문화서비스지원사업] [초등1~2]세계시민교육 참여자 모집,어린이
영등포구,[초등3~5학년] 그림책 마음여행 참여자 모집,어린이
영등포구,[비대면][작가와의만남#11] 「아동학대에 관한 뒤늦은 기록」 임지선 기자와의 만남(비대면-유튜브 라이브),전연령
영등포구,[대면][작가와의만남#11] 「아동학대에 관한 뒤늦은 기록」 임지선 기자와의 만남(대면-현장강연),전연령
영등포구,"[비대면][작가와의만남#12] 「할머니, 우리 할머니」 한성원 작가와의 만남(비대면-유튜브 라이브)",전연령
영등포구,"[대면][작가와의만남#12] 「할머니, 우리 할머니」 한성원 작가와의 만남",전연령
영등포구,[비대면] 북스타트 '빨간코 루돌프와 산타클로스' 유아 뮤지컬,어린이
영등포구,[비대면-유튜브라이브][작가와의만남#13] '최선의 삶' 임솔아 작가와의 만남,성인
중구,[온라인변경_8월12일] 디지털사회혁신 문제공감 워크숍,청소년
중구,단테와 [신곡] 비대면 강좌,청소년
중구,[온라인변경_8월12일] 디지털사회혁신 문제공감 워크숍,청소년
중구,[8월19일_온라인] 디지털사회혁신 문제공감 워크숍,성인
중구,4차 산업혁명시대의 메이커 스피릿(the maker sprit),성인
중구,(온라인으로 변경)4차 산업혁명시대의 메이커 스피릿(the maker sprit),성인
중구,메타버스가 만드는 가상경제 시대가 온다: 9월 디지털리터러시 체험프로그램,성인
중구,"[온라인]빅데이터, 어떻게 세상을 바꾸고 있는가?:4차 산업혁명과 빅데이터",청소년
중구,플랫폼의 생각법 2.0,성인
중구,'디자인 씽킹으로 함께 만드는 지속가능사회' 시민프로그램,성인
중구,영화 속 장애인 이야기,전연령
중구,"김수영 시인 탄생 100주년 기념 시인 '김수영, 긍지의 100년' 강좌 개최",성인
중구,'디자인 씽킹으로 함께 만드는 지속가능사회' 시민프로그램,성인
중구,영화 속 장애인 이야기(수요일 총2회),전연령
중구,"김수영 시인 탄생 100주년 기념 시인 '김수영, 긍지의 100년' 강좌 개최",성인
강서구,마을독서동아리 리더교육2: 활용편,성인
강서구,마을 독서동아리 리더교육1: 디딤돌편,성인
강서구,영화 읽는 두 가지 시선,전연령
강서구,우리가 알아야할 전염병이야기,전연령
강서구,"단편 소설, 기초부터",전연령
강서구,이야기로 풀어낸 클래식,전연령
양천구,작가와 함께하는 글쓰기 창작수업,청소년
양천구,소설과 함께 떠나는 역사 여행,성인
양천구,내일의 지구를 위한 건강한 여행법 '공정여행',성인
양천구,12월 가족과 함께하는 도서관 DAY,성인
양천구,북스타트 부모교육 <색종이로 만나는 그림책 세상>,성인
서대문구,시소 함께 읽기,어린이
서대문구,이야기 톡! 그림책 톡!,어린이
서대문구,인증샷 이벤트 '빅북과 함께',전연령
서대문구,우리 아이 첫 독서학교 '인성반',어린이
서대문구,2021년 10월 독서퀴즈,어린이
서대문구,1일 1환경 챌린지 저자 강연회,어린이
서대문구,[청소년/온라인]아무도 들어오지 마시오 함께 읽기,청소년
송파구,일본어 중급,성인
강남구,다문화랑 놀자,어린이
강남구,2021년도 PETA와 함께하는 영어 그림책 읽기,어린이
강남구,도서관에서 발견한 한국사,어린이
강남구,"명화랑 놀자 6기, 7기",어린이
강남구,[2021 작가의 서재 프로그램①] 의자 작가와의 만남,어린이
강남구,[2021년 이야기가 있는 코딩 공모사업] 2021년 이야기가 있는 코딩,청소년
강남구,[정보매체교육] 슬기로운 미디어 생활,성인
강남구,[도서관 지혜학교 공모사업] 음악극 400년사에서 배우는 대중의 지혜,어린이
강남구,[다문화서비스 지원 공모사업] 다(多)문화랑 놀자,어린이
강남구,[2021 공공도서관 장애인 독서문화프로그램 공모사업] 책을 통해 건강한 마음 갖기,성인
강남구,[길 위의 인문학 공모사업] 인문의 숲에서 코로나 블루를 치유하다,성인
강남구,[서울형 북스타트] 2021 책놀이 북스타트,어린이
강남구,[강남혁신교육지구 공모사업] 논현 마을 IT 성장학교-인공지능교육지도사 양성과정,성인
강남구,[생애주기-유아·어린이 프로그램] 그림책 읽어주는 사서 4기,어린이
강남구,[생애주기-어린이 프로그램] 기초부터 배우는 액티비스트의 과학이야기,어린이
강남구,[생애주기-성인 고전인문학 프로그램] 고전의 향기를 찾아서,성인
강남구,"[미디어 컨텐츠 제작 프로그램] 가족과 함께하는 VR, AR 체험",성인
강남구,2021 세계 책의 날&도서관 주간 기념 행사,전연령
강남구,[생애주기-성인 고전인문학 프로그램] 우리 고전의 풍부한 자산,성인
강남구,[도서관주간 이벤트] 도서관을 꾸며라! 익다씨의책읽는강남 Library Sticker 이벤트,성인
강남구,[2021 작가의 서재 프로그램②] 야나 작가와의 만남,어린이
강남구,"[재능기부 프로그램] 2021년도 2분기 MATE와 함께하는 과학, Shall we mate? 1분기/2분기",어린이
강남구,[2021 작가의 서재 프로그램③] 김지민 작가와의 만남,성인
강남구,[2021 작가의 서재 프로그램④] 김경희 작가와의 만남,어린이
강남구,[2021 작가의 서재 프로그램⑤] 이순옥 작가와의 만남,어린이
강남구,[강남구 월간인문학 9월] <90년생이 온다> 임홍택 작가 초청 북콘서트,성인
강남구,[기관 연계 프로그램] 세계인의 밥상,성인
강남구,[동아리] 2021 '엄마가 읽어주는 영어그림책' 동아리,성인
강남구,[동아리] 2021 책뜨개 공방,성인
강남구,[동아리] 2021 닛쇼랑 (일본어 원서 읽기 동아리),성인
강남구,[동아리] 2021년도 내 마음의 그림책,전연령
강남구,[동아리] 2021년도 학이시습지,성인
강남구,[동아리] 2021 하브루타 독서 동아리,성인
강남구,[동아리] 2021 BTS 영어 원서 읽기 동아리,성인
강남구,[생애주기-어린이 프로그램] (초등독서토론동아리) 독토리 2기,어린이
강남구,[유아 독서동아리] 책으로 자라는 마음 5기,어린이
강남구,[동아리] 2021년도 책둥지 (성인 독서동아리),성인
강남구,2021 9월 독서의 달 행사,전연령
강남구,[생애주기-어린이 프로그램] 책으로 쑥쑥 크는 사회성 교실,어린이
강남구,[논현도서관 한책 소그룹 독서토론] 2021 강남구 한책 - 함께 읽어요! (오전/오후),전연령
강남구,[학교 연계 진로인문학] 랜선으로 찾아가는 작가와의 만남,어린이
강남구,[기관 연계 프로그램] 2021 영어스토리텔링 특강,성인
강남구,"[정보매체교육] 스마트폰활용교육 '스마트폰×유튜브, 나도 미디어스타'",성인
강남구,[기관 연계 프로그램] 2021 연화 스토리텔링,어린이
강남구,인문독서토론,성인
강남구,한나쌤과 함께하는 맛있는 중국어 (3월~5월),어린이
강남구,대치도서관 독서학교(3~4학년) (3월~4월),어린이
강남구,[도서관주간] 대치도서관 사서들이 함께쓴 도서관 별책부록 대담형 북토크,성인
강남구,한나쌤과 함께하는 맛있는 중국어 (6월~9월),어린이
강남구,에듀인과 함께하는 영어놀이터(6~7세) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(1학년) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(2학년) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(3학년) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(4학년) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(5~6학년) (3월~6월),어린이
강남구,에듀인과 함께하는 영어놀이터(6~7세) (10월~12월),어린이
강남구,에듀인과 함께하는 영어놀이터(1학년) (10월~12월),어린이
강남구,에듀인과 함께하는 영어놀이터(2학년) (10월~12월),어린이
강남구,에듀인과 함께하는 영어놀이터(3학년) (10월~12월),어린이
강남구,에듀인과 함께하는 영어놀이터(4학년) (10월~12월),어린이
강남구,에듀인과 함께하는 영어놀이터(5~6학년) (10월~12월),어린이
강남구,성인 기초 중국어,성인
강남구,[다문화] 다문화 올림픽,전연령
강남구,[다문화] 다문화 인문학,전연령
강남구,시니어 스마트폰 활용교육,청소년
강남구,대치도서관 독서학교(3~4학년) (6월~7월),어린이
강남구,대치도서관 독서학교(3~4학년) (10월~12월),어린이
강남구,대치도서관 독서학교(5~6학년) (3월~4월),어린이
강남구,대치도서관 독서학교(5~6학년) (6월~7월),어린이
강남구,대치도서관 독서학교(5~6학년) (10월~12월),어린이
강남구,어린이 철학(3~4학년) (3월~4월),어린이
강남구,어린이 철학(3~4학년) (5월~6월),어린이
강남구,어린이 철학(3~4학년) (7월~8월),어린이
강남구,어린이 철학(3~4학년) (9월),어린이
강남구,어린이 철학(5~6학년) (3월~4월),어린이
강남구,어린이 철학(5~6학년) (5월~6월),어린이
강남구,어린이 철학(5~6학년) (7월~8월),어린이
강남구,어린이 철학(5~6학년) (9월),어린이
강남구,사서와 함께하는 Kids Fun English,어린이
강남구,어린이 영어 인문학 (4월~6월),어린이
강남구,어린이 영어 인문학 (9월~10월),어린이
강남구,"문학on, 미술on (3월~5월)",청소년
강남구,"문학on, 미술on (6월~9월)",청소년
강남구,"문학on, 미술on (10월~12월)",청소년
강남구,[기관연계] 동아시아 인문학의 월경 (3월~5월),성인
강남구,[기관연계] 동아시아 인문학의 월경 (11월~2022.1월),성인
강남구,[도서관주간] 「문어 목욕탕」 「코끼리 미용실」 최민지 작가 저자특강,성인
강남구,"[5월 문화가있는날] 이상특강 : 이상의 「종생기」를 통해 본 사랑, 죽음, 예술",성인
강남구,[8월 문화가있는날특강] 감성으로 읽는 한국 근대 문학,성인
강남구,[독서의달] 서현 작가와의 만남 : 숨겨진 그림책 이야기,성인
강남구,[독서의달] 안도현 저자특강 - 백석을 만나는 시간,성인
강남구,[저자특강] 질문으로 완성하는 청소년 글쓰기,청소년
강남구,[저자특강] 오늘의 나를 안아주세요 - 비폭력대화를 통해 자신을 돌보는 방법,성인
강남구,『대치동에 가면 니 새끼가 뭐라도 될줄 알았지』 저자 대담회,성인
강남구,[한책특강] 30일간의 간헐적 채식 특강,성인
강남구,"프로이트 특강-프로이트와 현대철학, 정신분석임상",성인
강남구,[예술독서동아리] 美親예술,성인
강남구,[역사독서동아리] 역사의 연구,성인
강남구,[과학독서동아리] 과학산책,성인
강남구,[철학독서동아리] 철학그림,성인
강남구,뚝딱뚝딱 생각공작소,어린이
강남구,말랑한 인문학,어린이
강남구,거북(book)한 친구들,어린이
강남구,어린이 인문학 이야기,어린이
강남구,세계우수작가전작읽기,성인
강남구,"[길위의 인문학_심화과정] 철학, 예술로 삶을 물들이다 1차",성인
강남구,"[길위의 인문학_심화과정] 철학, 예술로 삶을 물들이다 2차",성인
강남구,"[길위의 인문학_심화과정] 철학, 예술로 삶을 물들이다 3차",성인
강남구,"[길위의 인문학_자유기획] 클래식, 삶을 위로하다 1차-오페라, 삶에 스며들다",성인
강남구,"[길위의 인문학_자유기획] 클래식, 삶을 위로하다 2차-클래식, 삶을 연주하다",성인
강남구,"[한국언론진흥재단 미디어평생교실] (초등학생을 위한) 뉴스 읽기, 뉴스 일기",어린이
강남구,심리학 어디까지 알고 있니,성인
강남구,향기를 담는 시간 - 캔들 만들기 원데이 클래스,성인
강남구,"스타트, 비거니즘!",성인
강남구,세계 그림책 여행,성인
강남구,오은 시인과 함께하는 북토크-『마음의 일』,청소년
강남구,커피&홍차가 있는 오후 + 인문학 한 스푼,성인
강남구,[동아리] 추리고수,성인
강남구,[북큐레이션] 키워드로 보는 심리학 이야기,성인
강남구,[동아리] 낭독의 행복,전연령
강남구,[북큐레이션] 기관연계-청소년을 위한 북 큐레이션,청소년
강남구,[동아리] 스페셜티 북클럽(상반기),성인
강남구,[공모사업] Easy한 청소년 미디어리터러시 - 미디어로 디지털 민주시민 역량 키우기,청소년
강남구,[동아리] 스페셜티 북클럽(하반기),성인
강남구,(심리학에 한걸음 다가가기) 영화로 보는 심리학,성인
강남구,김진명 작가와 함께하는 북 콘서트(강남구 월간 인문학 4월),전연령
강남구,[문화가 있는 날] 일상을 단단하게 만드는 라이프 컬러링: 『나의 일주일과 대화합니다』 저자특강,성인
강남구,[동아리] 랄라북앤맘,어린이
강남구,주식 왕초보를 위한 기초 특강,성인
강남구,[공모사업] [기관연계] 스트레스 안녕! 몸마음챙김 요가,성인
강남구,[공모사업][기관연계] 내 마음 속 행복 정원 2기,성인
강남구,올해의 한책 읽고 함께 이야기 나누어요! (성인),성인
강남구,올해의 한책 읽고 함께 이야기 나누어요! (아동),어린이
강남구,[기관연계] 그림책과 함께하는 푸드테라피 교실,어린이
강남구,[10월 문화가 있는 날_아동] 할로윈 마크라메 가랜드 만들기,어린이
강남구,[북큐레이션] 북큐씨(Book Q See) - 어린이 북큐레이션,어린이
강남구,[북큐레이션] 한책 아동 북큐레이션 - 동물과 함께하는 멋진 하루,어린이
강남구,[기관연계] 도서관에서 놀자,어린이
강남구,(아이와 행복한 소통) 그림책 육아,어린이
강남구,[공모] 2021 지식정보취약계층 도서관 서비스 개선 사업 - 나의 식물친구,성인
강남구,생각이 쑥쑥 행복한 동화나라,어린이
강남구,그림책 인형 공작소,성인
강남구,[한 도서관 한 책읽기] 일상생활과 여행에 적용하는 제로 웨이스트,성인
강남구,엄마와 함께하는 크리스마스 소품만들기,성인
강남구,"문해력, 미디어로 시작해요",어린이
강남구,[12월 문화가 있는 날] 생각하고 분석하는 초등논술,어린이
강남구,초등학생을 위한 3D프린터 모델링 첫걸음,어린이
강남구,2021 문화가있는날_2월,전연령
강남구,2021 문화가있는날,전연령
강남구,2021년 시비 등록,성인
강남구,"컬러&뷰티, 인문학으로 나를 디자인하라",성인
강남구,체험으로 즐겁게 알아가는 내 감정,어린이
강남구,2021 북스타트 부모교육,성인
강남구,엄마와 내가 함께 만드는 성장동화,어린이
강남구,모자장수와 원숭이 동화구연,어린이
강남구,나의 일상이 '웹툰'이 되다,어린이
강남구,[장애인 인식 개선 프로그램][대면] ACC(발달장애인 의사소통판} 이해하고 소통하기,어린이
강남구,엄마랑 아이랑 크리스마스케이크(부쉬드노엘)만들기,성인
강남구,[온라인] 겨울독서교실 - 책은 요술쟁이야!,어린이
강남구,[온라인] 개요 짜기로 완성하는 초등 6학년 글쓰기 캠프,어린이
강남구,[온라인] 도형심리로 내 마음 찾기,성인
강남구,[2021여름방학교실][온라인] 내가 바로 지구지킴이,어린이
강남구,[온라인][2월문화가있는날] 소통을 위한 이미지 심리학 특강,성인
강남구,[5월문화가있는날][온라인] 즐거운도서관 작가초대석-조선화 작가와의 만남,성인
강남구,[8월문화가있는날][온라인] 즐거운도서관 작가초대석 - 손문숙 작가와의 만남,전연령
강남구,[서울형 북스타트][대면] 그림책으로 쏙쏙! 엄마랑 아기랑 즐거운 책놀이,어린이
강남구,[서울형 북스타트][온라인] 우리 아이를 키우는 그림책,성인
강남구,[도서관과함께책읽기] 자아를 찾아 떠나는 민담독서프로그램,어린이
강남구,[강남구 평생학습 특성화 프로그램] 나를 위한 책 읽기,성인
강남구,내손으로 만드는 이야기 세계여행,어린이
강남구,[재능기부] 자녀 독서지도 특강,성인
강남구,내 아이를 위한 특별한 독서지도,전연령
강남구,[9월 독서의 달] 우성희 작가와의 만남,성인
강남구,2022년 경제전망과 재테크전략 포스터,전연령
강남구,청소년 북코치,청소년
강남구,2021 데일리 필사클럽 시즌1 - 일상을 채우는 문장들,성인
강남구,[도서관에서 그림읽기] 유럽역사와 함께하는 프랑스 미술 Ⅲ,성인
강남구,2021 데일리 필사클럽 시즌2 - 일상을 채우는 문장들,성인
강남구,초등독서동아리 : 꼬북이,어린이
강남구,초등독서동아리 : 북마크,어린이
강남구,초등독서동아리 : 책이랑 나랑,어린이
강남구,2021 정다운도서관 세계 책의 날&도서관 주간 기념 행사,성인
강남구,2021 데일리 필사클럽 시즌3 - 일상을 채우는 문장들,성인
강남구,[도서관주간 이벤트] 도서관을 꾸며라! 익다씨의책읽는강남 Library Sticker 이벤트,성인
강남구,[원화전시] 세계 책의 날&도서관 주간 기념 : '작가의 붓' 원화전시,전연령
강남구,[초등 미디어교육 평생교실] 미디어로 세상읽기,어린이
강남구,[미미위 마을학교] 도서관X마을 이음학교 1탄 : 예술과 마을,성인
강남구,[정다운도서관 x 대치평생학습관] 5월의 랜선 역사산책,성인
강남구,[초등 독서동아리] 북코치와 함께 하는 비경쟁 토론 (1~2학년),어린이
강남구,[초등 독서동아리] 북코치와 함께 하는 비경쟁 토론 (3~4학년),어린이
강남구,2021 데일리 필사클럽 시즌4 - 일상을 채우는 문장들,성인
강남구,[원화전시] 가정의 달 기념 : '동시집' 원화전시,전연령
강남구,[2021 길위의 인문학] 지금 시작하는 미래 1탄 - 지구시계 23시 58분 20초,성인
강남구,[어르신대상 고전강독프로그램] 도덕경으로 마음 돌아보기,중장년
강남구,2021 데일리 필사클럽 시즌5 - 일상을 채우는 문장들,성인
강남구,"[2021 길위의 인문학] 지금 시작하는 미래 2탄 - 4차 산업혁명, 위기의 인류를 구원할 수 있을까?",성인
강남구,[초등 독서동아리] 7월 북코치와 함께 하는 비경쟁 토론 (3~4학년),어린이
강남구,[초등 독서동아리] 7월 북코치와 함께 하는 비경쟁 토론 (5~6학년),어린이
강남구,초등독서동아리 : 책이랑 나랑,어린이
강남구,2021 데일리 필사클럽 시즌6 - 일상을 채우는 문장들,성인
강남구,"[원화전시] 오늘, 수고했어요 원화전시",전연령
강남구,"[도서관에서 그림읽기] 피카소를 읽다 : 피카소 탄생 140주년 기념, 그를 회고하다",성인
강남구,[정다운도서관] ECO! 그려보니 환경 크로키!,성인
강남구,[초등 독서동아리] 8-9월 북코치와 함께 하는 비경쟁 토론 (1~2학년),어린이
강남구,[초등 독서동아리] 8-9월 북코치와 함께 하는 비경쟁 토론 (3~4학년),어린이
강남구,[초등 독서동아리] 8-9월 북코치와 함께 하는 비경쟁 토론 (5~6학년),어린이
강남구,[온라인] 데일리 필사클럽 스페셜 시즌 - 일상을 채우는 에코챌린지,성인
강남구,[2021 길위의 인문학] 지금 시작하는 미래 3탄 - 문명대전환기를 임하는 우리의 자세,성인
강남구,[원화전시] 나의 드로잉 아이슬란드 원화전시,전연령
강남구,2021 데일리 필사클럽 시즌7 - 일상을 채우는 문장들,성인
강남구,내 손으로 만드는 가상현실(VR)과 증강현실(AR) [초등1-3학년],어린이
강남구,내 손으로 만드는 가상현실(VR)과 증강현실(AR) [초등4-6학년],어린이
강남구,[초등 독서동아리] 11월 북코치와 함께 하는 비경쟁 토론 (3~4학년),어린이
강남구,[초등 독서동아리] 10-11월 북코치와 함께 하는 비경쟁 토론 (5~6학년),어린이
강남구,2021 데일리 필사클럽 시즌8 - 일상을 채우는 문장들,성인
강남구,[2021 강남구 한책읽기]- <무해한 하루를 시작하는 너에게> 신지혜 작가와의 만남,성인
강남구,[도서관에서 그림읽기] 유럽역사와 함께하는 프랑스 미술 IV,성인
강남구,2021 데일리 필사클럽 시즌8 - 일상을 채우는 문장들,성인
강남구,[북스타트][온라인] 그림책으로 키우는 우리 아이 감정코치,성인
강남구,[온라인] 그림과 글이 만나는 예술에세이,성인
강남구,[새해설계 프로젝트 1탄] 30일 5분 달리기 : 김성우 작가와의 만남,성인
강남구,[새해설계 프로젝트 2탄] 꿈꾸는 엄마의 미라클 모닝 : 김연지 작가와의 만남,성인
강남구,[새해설계 프로젝트 3탄] 기록의 쓸모 : 이승희 작가와의 만남,성인
강남구,[정다운도서관 x 청담평생학습관] 그림책 심리 치유 '나쁜 감정은 나쁘지 않다',성인
강남구,[정다운도서관X청담평생학습관][초등4-6학년] 북트리 만들기,어린이
강남구,<일상찾기 프로젝트>,성인
강남구,"글쓰기, 욕망의 발현",성인
강남구,[강남구 월간인문학] 작가들의 쾌락책담 2 : 박완서 타계 10주년 기념 북토크,전연령
강남구,도슨트와 함께 하는 온가족 집콕 미술관,성인
강남구,윤소라 성우와 함께 하는 힐링 낭독,성인
강남구,책과 얽힘 : 과학책 읽는 방법,성인
강남구,[과학의 날] 곽재식의 미래를 파는 상점 인스타그램 이벤트,성인
강남구,[가정의 달 기념 이벤트] 도서관 방문하고! 마리모 어항 받고!,어린이
강남구,시니어 북 딜리버리,어린이
강남구,영화로 만나는 부모교육,성인
강남구,"죽음은 언제나, 어디에",성인
강남구,"좋아하는 일을 하고 있다면, 덕업일치",성인
강남구,[강남구 평생학습 특성화 프로그램] 독서융합 3D 메이커,성인
강남구,[강남구 평생학습 특성화 프로그램] 독서융합 VR 메이커,성인
강남구,[길 위의 인문학] SF가 묻고 과학이 답하다,성인
강남구,‘책+톡’: 독서 토론 클래스(겨울특강),어린이
강남구,시네마 톡톡,성인
강남구,쪼물 쪼물 동화 클레이아트(가을추억),어린이
강남구,「나를 바꾸는 글쓰기 공작소」 이만교 작가와의 만남,성인
강남구,"열린도서관, 사회문화를 담다 : 열린사담 #1. 취향, 만들어진 끌림",성인
강남구,[2021 강남구 한책읽기] KBS 환경스페셜 <옷을 위한 지구는 없다> 김가람 PD와의 만남,성인
강남구,"열린도서관, 사회문화를 담다 : 열린사담 #3. 외모강박, 나를 기쁘게 하지 못하는 몸",성인
강남구,친절한 아트테크 클래스 <나는 미술관에서 투자를 배웠다>,성인
강남구,"열린도서관, 사회문화를 담다 : 열린사담 #2. 나이 듦, 유한성의 발견",성인
강남구,겨울방학 독서토론교실: 슬기로운 학교생활,어린이
강남구,청소년 북코치,청소년
강남구,[영어독서프로그램]리딩라이브러리 5기,어린이
강남구,We Kid : 마녀위니 영어책 읽기,어린이
강남구,인사이트 모닝즈 : 새벽에 만나는 독서모임,전연령
강남구,사서쌤이랑 세계 전래동화 놀이교실,어린이
강남구,북적북적 토론교실,어린이
강남구,타고 드로잉,전연령
강남구,보드게임 놀이학교,어린이
강남구,초등독서단,어린이
강남구,오감만족 프로젝트 Sense Therapy : 식물들과의 가슴 따뜻한 반려이야기,성인
강남구,고정순 작가와 함께하는 그림책 북클럽,성인
강남구,오감만족 프로젝트 Sense Therapy : 홈 가드닝의 모든 것,성인
강남구,영화와 원작소설을 통해서 얻는 세계사의 교훈,성인
강남구,애니어그램을 활용한 그림책 금쪽 처방,성인
강남구,오감만족 프로젝트 Sense Therapy : 힐링 꽃차 Class,성인
강남구,온택트 그림책 예술놀이,어린이
강남구,"만화 사회학 #1차시 : 노동, 과연 개인의 문제인가?",성인
강남구,오늘은 보드게임,전연령
강남구,오감만족 프로젝트 Sense Therapy : 보태니컬아트 원데이클래스,전연령
강남구,<나도 멋진할머니 : 나답게 나이든다는 것> 1강 : 김원희 작가 북토크,성인
강남구,"만화 사회학 #2차시 : 여성, 그냥 <사람>에 대한 권리",성인
강남구,음악으로 만나는 그림책 - 알바트로스의 꿈,어린이
강남구,책 읽어드립니다 : 정명섭작가의 고전읽기 프로젝트,전연령
강남구,<나도 멋진할머니 : 나답게 나이든다는 것> 2강 : 편성준 작가 북토크,성인
강남구,[영어독서프로그램] 리딩라이브러리 6기,전연령
강남구,"만화 사회학 #3차시 : 환경, 작은 실천이 아름답다",성인
강남구,오늘은 보드게임,전연령
강남구,세상을 배우는 디지털 놀이터(초등1-2학년),어린이
강남구,<나도 멋진할머니 : 나답게 나이든다는 것> 3강 : 이현수 작가 북토크,성인
강남구,<나도 멋진할머니 : 나답게 나이든다는 것> 4강 : 김혼비 작가 북토크,성인
강남구,추석맞이 오늘은 보드게임!,전연령
강남구,세상을 배우는 디지털 놀이터 (초등3-4학년),어린이
강남구,아트 살롱 #9월 : 윤지원 작가 <클래식으로 새롭게 보는 명화>,성인
강남구,"만화 사회학 #4차시 : 생명, 함께 살아갈 세상",성인
강남구,일상을 특별하게 나만의 소울푸드 & 드로잉,성인
강남구,세상을 배우는 디지털 놀이터 (초등5-6학년),어린이
강남구,아트 살롱 #10월 : 이석용 작가 <건축가가 들려주는 공간 이야기>,성인
강남구,오늘은 보드게임,전연령
강남구,글의 맛 - 번역하는 마음 북토크,성인
강남구,[북스타트]아빠와 놀이학교,성인
강남구,아트 살롱 #11월 : 김경훈 사진기자 <사진이 알려주고 싶은 것들>,성인
강남구,오늘은 보드게임,전연령
강남구,[한도서관 한책읽기] 함께 살아간다는 것 : 인문사회과학 책방 풀무질,성인
강남구,[전시] 김효찬 작가와 '읽고 보고 그리다',전연령
강남구,책 속으로 들어간 Art,어린이
강남구,아트 살롱 #12월 : 진병관 작가 <명화 속 미스터리 이야기>,성인
강남구,오늘은 보드게임,전연령
도봉구,[1기-추가모집] 포토샵 (초급) ☞ 1/25 10:00부터 접수시작,성인
도봉구,test,전연령
도봉구,[1기] 책놀이 (7세),어린이
도봉구,[1기] 교양한문 시경,성인
도봉구,[1기] 교양한문 논어,성인
도봉구,[1기] 스마트폰 사진촬영,성인
도봉구,[1기] 캘리그라피 (금),성인
도봉구,[1기] POP&캘리그라피 (수),성인
도봉구,[1기] 포토샵 (초급),성인
도봉구,[1기] 엑셀활용,성인
도봉구,[1기] 잉글리쉬 카페 (원어민 영어) 수요반,성인
도봉구,[1기] 잉글리쉬 카페 (원어민 영어) 월요반,성인
도봉구,[1기] 중국어회화 목금,성인
도봉구,[1기] 영어회화 수목,성인
도봉구,[1기] 영어회화 월목,성인
도봉구,[1기] 영어회화 월수,성인
도봉구,[1기-추가모집] 책놀이 (7세)  ☞ 1/25(월) 10:00부터 접수시작,어린이
도봉구,[1기-추가모집] 교양한문 시경 ☞ 1/25 10:00부터 접수시작,성인
도봉구,[1기-추가모집] 교양한문 논어 ☞ 1/25 10:00부터 접수시작,성인
도봉구,[1기-추가모집] 스마트폰 사진촬영☞ 1/25 10:00부터 접수시작,성인
도봉구,[1기-추가모집] 캘리그라피 (금) ☞ 1/25 10:00부터 접수시작,성인
